p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.4163036266599625e-139	1.0251082697901897	0.346	0.028	2.3918535647033446e-135	8	Dennd4a
2.5000147164015287e-139	1.0062688897159175	0.318	0.024	4.222024853058902e-135	8	Srpk2
4.461880146334389e-139	0.7161172243754863	0.41	0.04	7.535223191129517e-135	8	Rb1cc1
3.5301220160821835e-138	1.110767909669969	0.286	0.019	5.961670060759591e-134	8	Synj1
1.946674900883819e-137	0.6429887344053238	0.336	0.027	3.2875445726125935e-133	8	Skap2
9.066702115335899e-137	1.1728482782576335	0.613	0.085	1.5311846532379266e-132	8	Atp6v0b
9.791291811132905e-137	1.3233687030279717	0.438	0.046	1.653553361064125e-132	8	Atp6v0d1
1.1697829892026782e-136	1.2941514219692936	0.558	0.073	1.975529512165483e-132	8	Bach1
1.6626039889144745e-136	1.531222997052139	0.452	0.049	2.8078056164787644e-132	8	Mafg
7.745690186479139e-136	2.554784698244077	0.853	0.22	1.308092158692597e-131	8	Btg1
8.189454969325343e-136	0.7722056126554102	0.313	0.023	1.383035155219664e-131	8	Cytip
1.1305964482582778e-135	0.6824788399217346	0.346	0.029	1.9093512818185797e-131	8	Ssu72
2.8353822416736736e-135	1.6340541762496206	0.747	0.128	4.7883935297385e-131	8	Gabarap
3.1375193944529234e-135	0.628968540086918	0.433	0.045	5.298642753352097e-131	8	Vmp1
3.323515642606951e-135	2.2204829186993678	0.714	0.127	5.612753217234619e-131	8	Ifitm2
5.284452611253949e-135	0.9991532863535173	0.401	0.039	8.924383569885669e-131	8	Homer1
7.000063121933199e-135	2.82746479523065	0.793	0.167	1.1821706600320787e-130	8	Hmox1
8.8587544205006e-135	1.5338808216154909	0.567	0.077	1.4960664465341412e-130	8	Riok3
2.3096221447629285e-134	1.2241507701539491	0.535	0.067	3.9004898780756334e-130	8	Plin2
4.502048226695062e-134	1.3290667316543068	0.585	0.08	7.603059045242621e-130	8	Spag9
1.4314035617198754e-133	1.102872900765304	0.59	0.081	2.4173543350325255e-129	8	Tgif1
6.074697142184829e-133	3.086624920111105	0.899	0.288	1.025894853372174e-128	8	Ftl1
7.681003391313446e-133	1.8217550615570803	0.751	0.133	1.2971678527250147e-128	8	Mcl1
2.5615138139757074e-132	1.2719596652424667	0.318	0.025	4.3258845290421746e-128	8	Casp4
3.1550804916831685e-132	1.144565038564509	0.327	0.027	5.328299934354535e-128	8	Plekho2
6.559057861586396e-132	1.117139630245767	0.29	0.021	1.1076936916647106e-127	8	Flcn
1.588403104297384e-131	0.7632494288306022	0.332	0.027	2.6824951625374223e-127	8	Ifngr2
3.117821631158483e-130	0.6869210684311902	0.29	0.021	5.265377170700446e-126	8	Rhbdf2
7.207543907861161e-130	1.7657684603063546	0.548	0.073	1.2172100151595927e-125	8	Tnfaip3
9.580645439266175e-130	0.7776763724210501	0.392	0.039	1.6179794017832717e-125	8	Oga
9.99826700328668e-130	0.8646494354917857	0.3	0.023	1.6885073315150545e-125	8	Tet2
2.7269140744367945e-129	1.1176709737953008	0.267	0.018	4.6052124889088585e-125	8	Tmcc1
4.569334610284595e-129	0.5434131310876958	0.323	0.026	7.716692289848624e-125	8	Ypel3
7.929540243734179e-129	0.6840617480895755	0.373	0.036	1.339140756361828e-124	8	Sidt2
2.743131341406428e-128	1.482328570902125	0.7	0.118	4.6326002093671756e-124	8	Map1lc3b
3.6073240206763743e-128	0.7347000103077023	0.364	0.034	6.092048806118261e-124	8	Blcap
9.804093241394486e-128	1.4038119364226167	0.585	0.084	1.6557152666067008e-123	8	Slc3a2
5.409802870642395e-126	1.4300499231434862	0.636	0.1	9.136075087940876e-122	8	Lamp2
5.881080189517284e-125	1.8808051809329016	0.498	0.065	9.93196822405679e-121	8	Sod2
1.0673348365184552e-124	1.0846225739089834	0.378	0.037	1.802515071912367e-120	8	Prkcd
3.96900298533557e-124	1.8254249718219886	0.382	0.039	6.70285224163471e-120	8	Tnfaip2
4.252292519367041e-124	1.0525482527756074	0.613	0.092	7.181271606707059e-120	8	BC005537
6.106340054132138e-124	1.0789092529366728	0.479	0.059	1.0312387083418354e-119	8	Jmjd1c
8.357396394120978e-124	0.9412514756811257	0.627	0.096	1.4113971030391508e-119	8	Tax1bp1
1.2009985295630365e-123	0.7272294137265765	0.29	0.022	2.028246316726056e-119	8	Tpst2
8.105813802314291e-123	0.95125452768472	0.576	0.084	1.3689098349348374e-118	8	Ube2b
