gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Spred3	0	0.016340633369432568	0	0.07927824770660824	0	0	0.05191988592362331	0.043592393125809904	0.007338033718291292	0.012104340679272683	0.12301735240865504	0.041656419453095644	0	0	0
Ggn	0	0	0	0	0	0	0	0	0	0	0.020026918679565582	0	0	0	0
Psmd8	0.9277688189708352	1.0038930364774843	0.8616585807795138	0.986624684012281	0.9598231535849208	1.1563933402054998	0.7396940867815028	0.968402797880586	0.40604686498124043	0.38218130615308504	0.705518751872845	1.2132159532639357	0.5740450370498226	1.2996527451668658	0.863204304667727
Catsperg1	0	0	0.011042515033210437	0	0	0	0	0	0	0	0	0.03007700288332405	0	0	0
Kcnk6	0.03670239108370112	0.052459075673129796	0.036262227994732936	0.0847375191871103	0	0.09890258227305986	0.11188634534212395	0.04982081828645264	0.031620885916624646	0	0.026668575013951496	0.13047220168621992	0	0	0.2211957739146249
Yif1b	0.25134255170464437	0.18813570499830892	0.31496719787632904	0.31230061976565493	0.20548215622661764	0	0.1529029227643147	0.2742182029382914	0.020199793344699367	0.17428419457614128	0.2251168415181601	0.21842562643021504	0	0.05108362880338797	0.3439050351821027
2200002D01Rik	0.4156432727644718	0.35338128588394757	0.11136058693350283	0.19318518838731266	0	0.6798331550865069	0.5848589017397093	0.806288764795723	0.01959519955287632	0.008137933292294756	0.08342405381625684	0.006564115361495222	0	0	0
Spint2	0.6423831823718705	0.6205917352615967	0.25648981915668884	0.20964028600699666	0.6223100781137508	1.0373015964805092	1.0859745281381605	0.5236689984285768	0.07420546671288279	0.39698218611368746	0.07891930110712503	0.054019797734016765	0.6027463528053245	0.9464257177480679	0.5986103163769142
Ppp1r14a	0.06451249219153124	0.030304346446774353	0.05560771679093092	0	0.11123306594770457	0	0.0010608396733863066	0	0	0.5791109891118356	0.07194212307830747	0	0.5442265438540962	0	0
Dpf1	0.012021196027288869	0	0.006223957354422181	0.027278783066147082	0	0	0	0	0	0	0.005883584697266376	0.04282274839998703	0	0	0
Sipa1l3	0.19546185455639306	0.22284156147176662	0.22430897600169247	0.3220143926214962	0.13031667184163603	0.41048505408506414	0.35318439157853115	0.29791266922482074	0.08914137037458493	0.13254487165795026	0.32355696550857127	0.20082483500688456	0.6269216807494105	0.11502295401783964	0
Zfp84	0.07960986395221688	0.014221147248429033	0.04059658736261786	0.1013139668131621	0	0.14925447220635724	0.031158770116612125	0.15834277182543324	0	0.17983067463274854	0.13562512739776017	0.08072075892261263	0.5225615663259743	0	0.20802228370887188
Zfp30	0	0	0.025105790626499307	0	0	0	0.09330250440173721	0	0.007338033718291292	0	0.03994011744235876	0.01079309256931665	0	0	0
Zfp790	0.013638013184602935	0.05008430999375381	0.011810695929504778	0	0	0	0	0.018326859355819267	0.0074652282044843305	0	0.010368039068169707	0.021412006571434085	0	0.07442803042913265	0
Zfp940	0	0	0	0	0	0.14148246434340353	0	0.0028188073581520393	0.009667066760915164	0	0	0	0	0.061455717512946595	0
Zfp420	0	0	0.008964248097079412	0	0	0	0	0.10970253115312213	0	0	0.018328549038990616	0	0	0	0
Zfp27	0.026057997535258115	0.011537746394779348	0.01919997541965253	0.03118974621812942	0	0	0	0	0	0.4382904177212014	0.010015036032779498	0.03931022193354096	0	0	0
Zfp383	0.012717025538731141	0.049065293762611914	0.016885703120152407	0.0497275343938594	0	0	0	0.0017501253181199754	0	0	0.017927756026840505	0	0.7198792315477595	0	0
Zfp74	0	0	0.05691539511833609	0.00129812086701283	0	0	0	0.18947568714568294	0	0	0.0337781883899924	0.004219647000825478	0	0	0
Zfp568	0.06210772124168401	0.014480205513506155	0.07143485402864576	0.09678505023696411	0	0	0.03972139804789593	0.43445092609361896	0	0.5293599573679701	0.06741139902978022	0	0.7848035871896256	0	0
Zfp14	0	0	0.013055867936553002	0	0	0	0	0	0	0	0	0	0	0	0
Zfp566	0.05206302176390075	0	0.03796963318907995	0	0	0	0.03236377076961957	0.046313909584126164	0	0	0.0335690781254737	0	0	0	0
Zfp260	0.19137294036411248	0.17899551481454298	0.2028840626845747	0.21644254633581175	0.2539709009686971	0.20448815796654352	0.17610211479441618	0.514658313396599	0	0.44924051112481816	0.22036376735677718	0.14898480467051234	0	0.29518935162376375	0.27479098918416245
Zfp382	0	0.016771600315939442	0.015272135559481119	0	0	0	0	0	0	0	0.023787964855858802	0.016896538917572652	0	0	0
